iter	RMSE
338	593.8510717
339	593.2715866
340	592.9383443
341	592.2572459
342	591.715856
343	591.1627258
344	590.8509144
345	590.2053545
346	589.9446881
347	589.2531934
348	588.7791733
349	588.4452695
350	587.9222236
351	587.6855364
352	587.2192315
353	586.0019949
354	585.9160982
355	585.6132079
356	585.2268861
357	585.191901
358	584.8725816
359	584.4000984
360	584.0216583
361	583.8308223
362	583.82198
363	583.6056009
364	583.2203789
365	582.8520407
366	582.5900253
367	582.343128
368	582.0688459
369	581.8164045
370	581.5115046
371	580.6542503
372	580.2809854
373	579.9723942
374	579.5381411
375	579.314638
376	579.0279967
377	578.4620124
378	577.9417593
379	577.4389666
380	576.9561803
381	576.7830573
382	576.407033
383	576.1679942
384	575.8964462
385	575.5351968
386	575.5099624
387	575.3655995
388	575.3114581
389	575.3000108
390	575.0516121
391	575.0326772
392	574.1084808
393	573.7883984
394	573.7107236
395	573.6252189
396	573.600848
397	573.4312536
398	573.1164423
399	573.090875
400	572.4643722
401	572.4530293
402	572.2696134
403	572.2574684
404	572.0546726
405	572.0293247
406	571.7229729
407	571.3472618
408	571.3261872
409	571.2063343
410	571.200063
411	571.1619767
412	571.150785
413	571.0498994
414	570.8465066
415	570.5609785
416	570.2180975
417	569.9201426
418	569.486976
419	569.0762925
420	568.9734518
421	568.9124291
422	568.7091275
423	568.6786019
424	568.3586728
425	567.7441674
426	567.5757446
427	567.5433835
428	567.4931343
429	567.4800204
430	567.0964367
431	566.4542967
432	566.4279608
433	566.3116052
434	565.9663231
435	565.9395901
436	565.6687977
437	565.6278218
438	565.5585002
439	565.4353844
440	565.3705866
441	565.2183431
442	564.9994434
443	564.8789313
444	564.8658881
445	564.8330418
446	564.3298763
447	564.2935095
448	564.2080708
449	564.0163128
450	563.7093478
451	563.5835507
452	563.5638169
453	563.5362781
454	563.3096959
455	563.2885987
456	563.2654715
457	562.9657449
458	562.8385365
459	562.8156053
460	562.7411426
461	562.7186171
462	562.6486531
463	561.9520683
464	561.7864601
465	561.6174377
466	561.4848083
467	561.3985253
468	560.8201238
469	560.5957753
470	560.3803148
471	560.3523652
472	560.1537083
473	559.9582829
474	559.9345221
475	559.1379873
476	559.1079395
477	558.5704612
478	558.4373796
479	558.3976071
480	558.2283958
481	558.2128919
482	558.0637782
483	557.8750238
484	557.7799541
485	557.3157948
486	557.028898
487	557.0177661
488	557.0035704
489	556.8603853
490	556.7439945
491	556.7152143
492	556.5724384
493	556.5593702
494	556.4519128
495	556.4458485
496	556.3900889
497	556.1058582
498	555.9402311
499	555.9067487
